Date,Region,EmploymentType,Total,Total_male,Total_female,Total_foreigner,Foreigner_male,Foreigner_female
30.06.2018,Berlin,Full-time,986067,573887,412180,124441,78666,45775
30.06.2018,Berlin,Part-time,490181,166255,323926,89674,45349,44325
30.06.2018,Berlin,Total,1476248,740142,736106,214115,124015,90100
30.06.2017,Berlin,Full-time,958309,553418,404891,106735,67099,39636
30.06.2017,Berlin,Part-time,468153,157509,310644,81761,41421,40340
30.06.2017,Berlin,Total,1426462,710927,715535,188496,108520,79976
30.06.2016,Berlin,Full-time,925921,529899,396022,89627,55719,33908
30.06.2016,Berlin,Part-time,441729,145838,295891,72126,36121,36005
30.06.2016,Berlin,Total,1367680,675753,691927,161757,91843,69914
30.06.2015,Berlin,Full-time,897498,509843,387655,75824,47094,28730
30.06.2015,Berlin,Part-time,413669,133246,280423,62260,30980,31280
30.06.2015,Berlin,Total,1311413,643218,668195,138093,78078,60015
30.06.2014,Berlin,Full-time,874620,494427,380193,66842,41556,25286
30.06.2014,Berlin,Part-time,384601,120131,264470,52321,25491,26830
30.06.2014,Berlin,Total,1269431,620554,648877,119533,67261,52272
30.06.2013,Berlin,Full-time,857689,482665,375024,59391,36713,22678
30.06.2013,Berlin,Part-time,360312,109367,250945,44899,21745,23154
30.06.2013,Berlin,Total,1228563,598189,630374,104893,58808,46085
30.06.2012,Berlin,Full-time,.,.,.,.,.,.
30.06.2012,Berlin,Part-time,.,.,.,.,.,.
30.06.2012,Berlin,Total,1199070,583881,615189,94201,52716,41485
30.06.2011,Berlin,Full-time,.,.,.,.,.,.
30.06.2011,Berlin,Part-time,.,.,.,.,.,.
30.06.2011,Berlin,Total,1157088,562411,594677,83420,46869,36551
30.06.2010,Berlin,Full-time,849411,466584,382827,51970,32382,19588
30.06.2010,Berlin,Part-time,266367,74140,192227,24627,10714,13913
30.06.2010,Berlin,Total,1127702,547685,580017,77328,43520,33808
30.06.2009,Berlin,Full-time,843627,462164,381463,50216,31491,18725
30.06.2009,Berlin,Part-time,254203,69028,185175,23101,9884,13217
30.06.2009,Berlin,Total,1109542,538081,571461,74023,41827,32196
30.06.2008,Berlin,Full-time,832355,457854,374501,48316,30542,17774
30.06.2008,Berlin,Part-time,243144,64460,178684,21310,8954,12356
30.06.2008,Berlin,Total,1086044,528457,557587,70143,39809,30334
